#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 743 ROR                           36                0
 755 SAR                         2332                0
 758 SBB                          141                0
 768 SETB                         577                0
 769 SETBE                        281                0
 772 SETNB                        240                0
 773 SETNBE                       470                0
 775 SETNLE                         1                0
 779 SETNZ                       2878                0
 784 SETZ                        1548                0
 794 SHL                         5493                0
 797 SHR                        10414                0
 819 STOSQ                          0             1839
 823 SUB                        18584                0
 830 SYSCALL                      160                0
 844 TEST                       65011                0
 852 TZCNT                       1482                0
1135 VMOVD                        245                0
1137 VMOVDQA                      848                0
1140 VMOVDQU                     1815                0
1200 VPALIGNR                       4                0
1201 VPAND                        392                0
1203 VPANDN                       392                0
1216 VPBROADCASTB                 259                0
1226 VPCMPEQB                    2416                0
1234 VPCMPGTB                     784                0
1238 VPCMPISTRI                     4                0
1372 VPMOVMSKB                   2022                0
1416 VPOR                         599                0
1466 VPSLLDQ                       55                0
1485 VPSUBB                       192                0
1512 VPXOR                       1554                0
1593 VZEROUPPER                  1564                0
1608 XCHG                         705                0
1610 XGETBV                         1                0
1612 XOR                        14926                0
1617 XRSTOR                        17                0
1623 XSAVEC                        17                0
3000 *total                    879059             5741
3001 *mem-atomic                   20                0
3002 *stack-read                80601                0
3003 *stack-write               66764                0
3004 *iprel-read                14660                0
3005 *iprel-write                1032                0
3007 *mem-read-1                40828                0
3008 *mem-read-2                 6393                0
3010 *mem-read-4                30110                0
3014 *mem-read-8               127014                0
3022 *mem-read-16                5184                0
3038 *mem-read-32                2025                0
3519 *mem-write-1                4240                0
3520 *mem-write-2                 348                0
3522 *mem-write-4                8499                0
3526 *mem-write-8               71988                0
3534 *mem-write-16               2029                0
3550 *mem-write-32                224                0
3582 *mem-write-64                 17                0
4094 LAST                          17                0
# $eof
